Gene Start (bp),Gene End (bp),Chromosome Name,HGNC symbol,
187532193,187533263,1,FDPSP1,
118617003,118692518,2,HTR5B,
187610358,187612992,1,C1orf99,
187675692,187678029,1,,
187683374,187683866,1,,
188036450,188036656,1,
118691601,118692365,2,
188211270,188211809,1,
118753186,118754186,2,
118889704,118943962,2,
188477669,188505596,1,
188640484,188640890,1,
120001998,120006647,2,
188663451,188664242,1,
188674754,188680011,1,
120234024,120244922,2,
188838608,188856565,1,
188874819,189006393,1,
120456199,120457733,2,
189101481,189102423,1,
189744595,189784048,1,
189837131,189837658,1,
120750775,120751187,2,
189958664,189962227,1,
120932461,120974120,2,
190234028,190331400,1,
120968630,120969291,2,
190447681,190449865,1,
120969303,120970438,2,
190449509,190463427,1,
120970511,120970851,2,
120970920,120971207,2,
190594020,190770788,1,
120971207,120972565,2,
190750917,190751125,1,
120972757,120974855,2,
190766654,190767086,1,
120979500,120980552,2,TMEM185B,
191115133,191116091,1,,
121076583,121083874,2,,
191190289,191197597,1,,
121300485,121301902,2,,
191827837,191859359,1,,
121311319,121315685,2,,
121444211,121468093,2,,
191844625,191980390,1,,
192215849,192216617,1,,
121839013,121846302,2,,
192216635,192217077,1,,
192486769,192536347,1,,
121935903,121940156,2,,
192498709,192507232,1,,
122067571,122067988,2,,
192685313,192685783,1,,
192765663,192766335,1,,
122407226,122485784,2,,
192769701,192770277,1,,
192906430,192917387,1,,
192962579,192963807,1,,
193273875,193335083,1,,
122416051,122416549,2,,
193648024,193696313,1,,
193653376,193657559,1,,
122466088,122466691,2,,
193726007,193726397,1,RPL23AP22,
122548020,122554278,2,,
194118603,194167824,1,,
194158097,194159472,1,EEF1A1P14,
123822897,123825298,2,,
123823727,123831057,2,,
194320073,194321556,1,,
124200842,124202021,2,,
194687925,194688366,1,,
124452878,124454972,2,,
196014126,196030203,1,,
197107878,197108437,1,,
124519747,124520647,2,,
197191352,197192385,1,,
197332947,197333210,1,,
124774435,124782750,2,,
197407106,197416599,1,,
125438299,125438493,2,,
197657890,197659765,1,EEF1A1P32,
126468546,126523419,2,,
197704766,197705239,1,,
126580685,126580892,2,,
197715879,197716581,1,,
126867676,126875562,2,,
197726449,197731095,1,,
127066087,127101569,2,,
198166909,198167316,1,,
198566854,198567998,1,,
127069043,127069504,2,,
198626682,198636190,1,,
127315012,127315739,2,YWHAZP2,
198648263,198649162,1,,
127437198,127437996,2,,
198776622,198906558,1,,
127656472,127659673,2,,
198918145,198918934,1,,
198952450,198954529,1,,
198975169,198990166,1,
127927587,127927807,2,
128004834,128007658,2,
198985262,199045864,1,
199117726,199362435,1,
128146706,128158156,2,
199340990,199341414,1,
199356269,199357603,1,
128225153,128247366,2,
199721619,199722018,1,
128604310,128604658,2,
199846106,199846686,1,
128688901,128689014,2,
199878049,199878776,1,
128824768,128824981,2,
200116659,200117407,1,
200182656,200183643,1,FAM58B,
128897366,128898090,2,,
200298289,200298805,1,,
128908728,128908878,2,,
200443048,200447421,1,,
128957475,128957767,2,DYNLT3P2,
200638635,200663378,1,,
128960935,128961349,2,,
200832936,200833277,1,RPL34P1,
128975162,128975646,2,,
200890122,200935658,1,C1orf81,
129276362,129276751,2,ISCA1P6,
129338065,129339150,2,,
200993077,200997920,1,,
129821419,129829298,2,,
201004224,201012201,1,,
129999746,130031421,2,,
201083880,201084796,1,,
130253870,130254361,2,,
201084904,201096312,1,,
130626766,130635126,2,,
201191241,201192251,1,,
130680435,130691890,2,,
201398103,201398488,1,,
201433511,201434274,1,,
201476369,201502736,1,,
130680750,130704276,2,,
201487831,201499602,1,RPS10P7,
201489184,201489678,1,,
130697421,130697790,2,,
201642233,201643272,1,,
130724165,130738039,2,,
201657387,201798687,1,
130748029,130808704,2,
201692422,201706634,1,
201862970,201869106,1,
201947770,201948077,1,
201969222,201979481,1,
201980498,201984785,1,
201997734,201997820,1,
202008979,202009062,1,
202065887,202066106,1,
202338654,202339273,1,
130750175,130750678,2,
130750462,130751613,2,
202407524,202408696,1,
130763773,130766696,2,
202440937,202441258,1,
130794531,130795995,2,,
130805999,130807013,2,,
130839665,130839793,2,,
130865257,130867314,2,,
130887194,130896990,2,,
130893551,130895332,2,,
130959885,130970201,2,,
130970443,130971063,2,RHOQP3,
130986949,130989679,2,,
131003544,131006343,2,,
131009141,131010132,2,,
131028169,131029845,2,,
131030052,131031084,2,,
131031481,131033022,2,,
131033165,131033830,2,,
131034080,131034760,2,,
131034757,131035530,2,,
131036330,131037683,2,,
131037872,131039678,2,,
131039658,131040179,2,MTND6P8,
131040252,131040902,2,,
131051395,131051978,2,,
131087715,131087858,2,,
131174328,131188936,2,,
131185304,131186798,2,,
131187400,131199048,2,,
131220959,131221267,2,,
131273570,131284264,2,,
131287848,131294755,2,,
131341122,131348036,2,,
131414572,131414880,2,,
131449816,131451343,2,,
131501111,131513452,2,,
119017512,119017859,3,,
77619701,77624488,7,,
119033140,119041607,3,,
119354373,119354997,3,,
119462986,119468040,3,,
77976459,77988775,7,RPL13AP17,
119510676,119511400,3,PHBP8,
119747587,119748715,3,,
119760037,119760384,3,,
119813742,119855630,3,,
78115847,78116345,7,,
78530591,78629614,7,,
120025573,120026799,3,,
78569166,78570211,7,,
120068357,120086845,3,,
78638304,78641593,7,,
120106876,120108162,3,,
78754055,78755066,7,,
78982726,78983708,7,,
120203018,120203374,3,,
79082198,79100524,7,,
120231697,120232035,3,,
120262892,120263292,3,,
120440871,120441158,3,,
120441305,120441493,3,,
120524713,120525592,3,NAP1L1P3,
120552287,120555207,3,,
120817955,120818621,3,,
121075838,121076787,3,,
121212957,121213755,3,RPL7AP11,
122036456,122037588,3,HNRNPA1P23,
122135729,122135859,3,,
122379460,122381285,3,EIF4BP8,
123304389,123363415,3,,
79173227,79174169,7,,
120382511,120385732,11,,
79725916,79726531,7,,
120738642,120765506,11,,
79875725,79941772,7,,
120894781,120961484,11,TBCEL,
123408491,123411254,3,,
80000833,80003755,7,,
80006870,80007151,7,SNRPBP1,
123870807,123871910,3,,
80291647,80291901,7,,
124452265,124452601,3,,
80820714,80821325,7,,
124500002,124506604,3,,
80964422,80964499,7,,
81061047,81062112,7,,
124580941,124582164,3,ENO1P3,
125029725,125030194,3,DUTP1,
81092352,81092929,7,,
81157719,81191099,7,,
125062929,125063641,3,,
81205702,81255532,7,,
125398417,125398625,3,,
125400149,125400297,3,,
125422193,125423156,3,,
81240200,81240642,7,,
125430983,125431889,3,,
81638493,81659271,7,MIR1255B1,
125443382,125444288,3,,
125453138,125454041,3,
82219164,82220007,7,
82286351,82286727,7,
125465927,125466941,3,
82984470,82991582,7,
125474929,125475305,3,
125506731,125506989,3,
83054196,83054318,7,
125513949,125514728,3,
83292735,83293941,7,
84157438,84158146,7,
125534925,125535129,3,
84161792,84213638,7,
125567066,125628215,3,
125581417,125606178,3,
84477193,84477569,7,
84505870,84506272,7,HMGN2P11,
125626848,125629115,3,,
125635463,125648867,3,,
84568665,84569561,7,,
120971882,121062202,11,TECTA,
84612863,84613825,7,HNRNPA1P8,
84657144,84659008,7,,
125677399,125677660,3,,
125775766,125777071,3,,
85010434,85010691,7,,
125803063,125814192,3,,
85050438,85118609,7,,
125822483,125826912,3,,
85265329,85265660,7,,
125898908,125929012,3,,
85846101,85847049,7,,
86404397,86405338,7,,
125985639,126010122,3,,
86413542,86415986,7,,
126007710,126012867,3,,
86780739,86781736,7,,
126111875,126113694,3,,
86954541,86974831,7,TP53TG1,
126343635,126344904,3,,
121163162,121179403,11,SC5DL,
126379452,126390782,3,C3orf46,
126390949,126392066,3,,
87150777,87151726,7,HNRNPA1P9,
126485277,126486318,3,,
87845975,87848541,7,,
126940037,126940724,3,,
127002924,127003524,3,,
87858974,87861089,7,,
127041150,127109513,3,,
87861326,87921781,7,,
127199533,127255655,3,,
88078103,88078332,7,,
127208396,127209630,3,,
88141344,88142502,7,,
127794653,127797899,3,,
88194108,88195596,7,,
128182437,128191160,3,,
88239555,88239983,7,,
128208055,128221191,3,,
88268328,88269730,7,EEF1A1P28,
88339945,88386039,7,,
121322912,121504387,11,SORL1,
88378784,88379008,7,,
128256863,128257474,3,TMED10P2,
89073286,89123576,7,,
128393573,128395848,3,POU5F1P6,
89511667,89840949,7,,
128467381,128468332,3,,
89748613,89752204,7,,
128483309,128483861,3,FTH1P4,
89748714,89754914,7,DPY19L2P4,
128517684,128518044,3,RPS15AP16,
128562407,128563247,3,,
89895348,89899530,7,,
128567516,128568242,3,,
89941810,89951906,7,,
128570955,128571851,3,,
90099101,90118278,7,,
128580156,128590383,3,,
90219933,90226667,7,,
128588467,128588869,3,,
128719320,128720388,3,,
90261220,90261882,7,,
90736689,90737108,7,,
128764606,128765764,3,,
128936936,128937193,3,RPS27P12,
90940683,90965056,7,,
129034235,129045068,3,,
90941755,91144724,7,,
90949443,90950418,7,,
91010093,91186163,7,,
91268162,91272827,7,,
129041889,129044269,3,,
91321323,91510004,7,,
129100141,129112992,3,,
91763918,91810039,7,,
129101765,129118498,3,RPL32P3,
91829328,91836171,7,,
92042290,92068876,7,,
92086878,92120924,7,,
92465797,92546501,7,,
93299138,93299389,7,,
93407151,93407826,7,,
129350862,129351335,3,,
129565893,129566800,3,,
93474101,93474643,7,,
129672948,129688137,3,,
129717374,129717779,3,,
93520225,93522913,7,,
129732025,129732384,3,,
93594722,93597702,7,,
129740396,129741363,3,
93598754,93640425,7,
129753396,129754382,3,
129774567,129774763,3,
93652145,93695973,7,
129800674,129832070,3,
93701071,93706469,7,
94324339,94325131,7,
94367964,94368723,7,
94412198,94412837,7,
129808276,129813147,3,
94463216,94463759,7,
129817935,129830315,3,
94647719,94647866,7,
94784517,94843644,7,
129831393,129838359,3,
94977558,94978545,7,,
94979476,94980541,7,,
95101147,95103310,7,,
129886633,129886873,3,,
95159502,95159787,7,,
129918551,129918761,3,,
129931666,129992649,3,COL6A4P2,
95225994,95243031,7,,
95912669,95913116,7,,
96487494,96488930,7,,
96594839,96643377,7,DLX6-AS1,
130012180,130012603,3,,
96635695,96637022,7,,
130331428,130331632,3,,
96764327,96764873,7,HMGB3P21,
130546503,130547220,3,GSTO3P,
96830020,96830795,7,,
130569627,130575067,3,,
121986062,121986923,11,BLID,
97066830,97067208,7,,
121986062,121986923,11,,
130618258,130648820,3,,
97499479,97499601,7,,
130637070,130637964,3,,
97512594,97513107,7,,
122165646,122172471,11,,
97515180,97515386,7,,
122526383,122685181,11,UBASH3B,
97527659,97528427,7,,
130646598,130647120,3,,
97535741,97536134,7,,
130772161,130791183,3,,
97537568,97537736,7,,
97567751,97568106,7,,
97576299,97577310,7,,
131043936,131100319,3,,
97595402,97596335,7,,
97598317,97601566,7,,
97935795,97937162,7,BAIAP2L1,
131080742,131083966,3,NUDT16P1,
98015113,98015896,7,,
98083431,98083929,7,,
98107863,98108537,7,,
131197941,131198077,3,,
98596161,98597553,7,,
98610788,98645863,7,,
131236675,131239724,3,,
131245291,131246023,3,,
131256415,131256529,3,,
131894246,131895555,3,,
98836417,98908753,7,MYH16,
123753633,123756349,11,TMEM225,
149699965,149701095,3,,
116182772,116192023,7,,
116203648,116211288,7,,
149702182,149702584,3,,
116211014,116254874,7,,
149717432,149718477,3,HNRNPA1P24,
149757001,149931513,3,,
131962372,131963109,3,,
123777109,123778183,11,OR8D4,
132105366,132107918,3,,
132120097,132120640,3,,
123810250,123811344,11,OR4D5,
132364675,132369227,3,,
116513508,116516430,7,,
122709208,122743347,11,CRTAM,
149768516,149769243,3,,
123813492,123814580,11,OR6T1,
149795281,149797904,3,,
123847368,123848488,11,OR10S1,
132440594,132593067,3,NCRNA00119,
149868325,149868731,3,,
132440594,132546850,3,,
149919961,149942977,3,,
132575913,132576068,3,,
123886282,123887217,11,OR10G4,
132733848,132755896,3,,
132964950,132976032,3,,
149956306,149957996,3,,
116592500,116594388,7,ST7OT1,
122753391,122830506,11,C11orf63,
123893720,123894655,11,OR10G9,
116612219,116612965,7,TPM3P1,
149983199,150005160,3,,
123900297,123901341,11,OR10G8,
150421351,150437933,3,,
133128799,133129687,3,,
116712126,116786534,7,ST7OT2,
133148113,133174620,3,,
133209668,133210349,3,,
133264915,133265116,3,,
133380842,133473420,3,TFP1,
123908773,123909717,11,OR10G7,
150437784,150438623,3,,
99040513,99041119,7,,
99195689,99208436,7,,
123986069,124018428,11,VWA5A,
133479144,133481207,3,,
133774100,133776492,3,,
133784147,133794057,3,,
99235865,99236390,7,,
133889331,133889929,3,HMGB3P14,
122848278,122852428,11,BSX,
134032418,134040013,3,,
99527015,99546243,7,,
134070694,134075403,3,RPL39P5,
99590020,99590673,7,,
122928197,122933938,11,HSPA8,
150479724,150480325,3,,
150570271,150798513,3,CLRN1OS,
116827602,116827794,7,,
150588832,150612089,3,FAM188B2,
116902972,116904942,7,,
150608423,150756605,3,,
150618941,150621181,3,,
116903971,116904442,7,,
150987228,150987917,3,,
116904447,116904584,7,,
151193592,151193962,3,,
116940915,116962290,7,,
151217427,151217594,3,,
117080036,117080834,7,,
117127791,117127983,7,,
151354962,151375754,3,,
117200787,117204730,7,,
151469231,151645963,3,,
117226261,117226470,7,,
117244845,117287469,7,
117329767,117356025,7,
151477535,151479799,3,
117522913,117523729,7,
151488216,151502682,3,
117638912,117644099,7,
118520157,118521342,7,
118590440,118591313,7,
151515272,151526037,3,
17506642,17507002,3,
151835962,151869513,3,
35794574,35840226,7,
152175548,152214602,3,
119209294,119209370,7,
152365935,152368236,3,
119344610,119547429,7,
17747550,17747725,3,,
17913221,17914090,3,,
152518223,152518521,3,ATP5LP5,
17918947,17919661,3,,
152557179,152559228,3,,
18031515,18037036,3,,
119781070,119783050,7,,
152785067,152785340,3,HMGN2P13,
18486516,18568819,3,,
152846863,152847429,3,,
119808399,119826118,7,,
152874300,152879564,3,,
120386792,120392568,7,,
35807732,35808250,7,,
153074896,153091975,3,,
153094620,153095351,3,,
35985904,36013282,7,SEPT7P3,
120690981,120691257,7,HMGN1P18,
153102723,153105157,3,,
153102898,153697975,3,,
18580165,18581391,3,,
18735379,18959184,3,,
134104039,134104336,3,HMGN1P9,
121038506,121038821,7,,
36069221,36095041,7,,
134156447,134157053,3,HMGB3P13,
99712837,99724762,7,,
153149645,153161320,3,,
36148634,36150482,7,,
134229373,134230255,3,,
121059126,121059899,7,,
36268230,36268493,7,,
99728587,99738062,7,
153599315,153658625,3,
135074909,135158730,3,
19981761,19984802,3,
153741624,153742087,3,
121080888,121081315,7,
36268889,36270716,7,
99737252,99738305,7,
36345240,36345513,7,
99798276,99869837,7,
153742190,153839121,3,
20049344,20049739,3,
36502632,36544121,7,
20053944,20054098,3,
20215736,20227919,3,
36637440,36639726,7,
124055923,124056952,11,OR10D3,
36790292,36802686,7,,
121283388,121290414,7,,
20383960,20392420,3,,
121482422,121485185,7,,
36820613,36822394,7,,
154069925,154072588,3,DDX50P2,
124179708,124180733,11,OR8D1,
118889142,118896164,11,TRAPPC4,
154229324,154257098,3,,
124189134,124190184,11,OR8D2,
135644733,135645009,3,,
154369445,154370212,3,,
135656150,135656226,3,,
135678117,135678432,3,,
154375083,154375352,3,,
135774026,135774606,3,,
124252291,124253258,11,OR8B2,
135874391,135874838,3,,
135924382,135924757,3,,
136327892,136328444,3,HMGN1P10,
154394377,154394908,3,,
121799354,121802297,7,,
136455342,136456071,3,,
136527393,136528465,3,,
136560568,136580896,3,,
124266278,124267264,11,OR8B3,
154544805,154578806,3,,
154687072,154688012,3,,
124293807,124294789,11,OR8B4,
136617918,136618918,3,,
154876530,154901074,3,,
99918615,99939531,7,PMS2P1,
124310022,124311054,11,OR8B8,
136677967,136701038,3,,
154958734,154960933,3,,
137254414,137254984,3,,
137442616,137443385,3,NPM1P17,
121856401,121858491,7,,
36858564,36859295,7,NPM1P18,
137490791,137499720,3,,
21447229,21448000,3,VENTXP7,
124412578,124413575,11,OR8B12,
36878577,36880978,7,,
21584308,21621451,3,,
121874585,121874957,7,,
37037401,37053235,7,,
155008018,155011564,3,,
21984058,22021320,3,,
99933748,99938951,7,,
124439893,124441037,11,OR8A1,
155008977,155011965,3,,
37156384,37156790,7,,
121943712,121950131,7,,
37415125,37415626,7,,
137599137,137601079,3,,
22711692,22712202,3,,
99949983,99951315,7,,
22945626,22946642,3,,
37625103,37625932,7,,
137820320,137821759,3,,
124481386,124490252,11,PANX3,
100032880,100034133,7,,
23031314,23033073,3,,
37860812,37861212,7,,
138362716,138363536,3,,
23175863,23176315,3,,
100033827,100036127,7,,
38350984,38351409,7,,
138496674,138497652,3,GAPDHP39,
155027216,155027596,3,PABPC1P10,
23236561,23244069,3,,
155093472,155093579,3,,
100107340,100117549,7,,
155119118,155121188,3,,
155149018,155151187,3,,
100167754,100168759,7,,
138515693,138516082,3,,
38694805,38696213,7,KRT8P20,
138543905,138545171,3,EEF1A1P25,
39023843,39053151,7,,
100187025,100201829,7,,
23431152,23431400,3,,
39444197,39445945,7,,
124492732,124505287,11,TBRG1,
23845515,23848396,3,,
39585249,39605838,7,,
138608097,138608799,3,ATP5G1P3,
23920472,23920989,3,,
138654031,138662862,3,,
39608975,39609797,7,,
24137760,24144738,3,,
100434936,100450238,7,,
100525990,100526160,7,,
39649209,39649889,7,,
138800496,138801219,3,RPL7L1P7,
39649316,39649879,7,,
100606878,100611410,7,,
39739940,39742895,7,,
24138003,24138851,3,,
39773231,39834216,7,NCRNA00265,
138823027,138844009,3,BPESC1,
139108657,139302161,3,,
24472239,24472598,3,,
24496627,24500925,3,,
24535578,24541502,3,,
39836192,39837510,7,,
100657601,100660889,7,,
24597325,24597950,3,,
39856148,39907739,7,,
100846895,100847776,7,,
24729410,25215796,3,,
39872813,39874544,7,,
100930763,100933052,7,AZGP1P2,
25365665,25366150,3,,
139185272,139185637,3,,
139212651,139213779,3,ACTG1P1,
39872885,39873392,7,,
100942894,100944551,7,,
25482655,25482993,3,,
139301770,139302435,3,,
39894093,39894655,7,RWDD4P2,
100951627,100954266,7,,
139407245,139408184,3,,
101032149,101032361,7,,
139556062,139578736,3,,
101206059,101212286,7,,
139563920,139564253,3,,
140168277,140179193,3,,
118914899,118927940,11,HYOU1,
121968523,122019000,7,,
122062056,122067495,7,,
101804400,101804617,7,,
101805576,101806076,7,,
101830099,101830319,7,,
101831879,101832108,7,,
101967674,101969945,7,,
155166973,155175542,3,,
140179842,140181667,3,,
122316634,122316865,7,,
140224453,140227631,3,,
101977727,101979559,7,,
155203592,155204910,3,,
140338536,140338679,3,,
122321344,122321757,7,RPS26P31,
140621036,140621493,3,,
101986192,101996889,7,,
155375549,155376401,3,,
155478406,155479006,3,,
155705093,155705965,3,,
155737435,155755475,3,,
140691586,140692097,3,,
122489800,122490406,7,,
140833966,140843024,3,,
155761944,155762737,3,,
140977260,140977621,3,,
122709303,122743643,7,,
140986195,141085979,3,,
155829221,155831987,3,,
141026454,141026775,3,,
122870174,122870795,7,,
102020912,102023184,7,,
141189476,141190744,3,,
155875691,155894700,3,,
102067265,102075227,7,,
123096683,123099910,7,,
141243975,141244963,3,,
102120179,102121095,7,,
141319118,141319421,3,,
155933349,155945672,3,,
102322283,102330916,7,,
123224913,123265011,7,,
141382041,141439915,3,,
122943035,123065989,11,CLMP,
156158946,156164694,3,,
156389651,156392167,3,,
156431673,156432717,3,,
123454193,123469306,7,HYALP1,
156465135,156534851,3,,
102395593,102396386,7,,
123572186,123572513,7,,
102613969,102629303,7,,
156527340,156528521,3,PA2G4P4,
141427858,141428674,3,,
123634676,123667713,7,,
102670551,102671801,7,,
141443267,141443368,3,,
156695347,156695614,3,,
102729111,102730057,7,,
156705906,156706501,3,,
156799456,156840793,3,,
141583849,141584121,3,HMGN2P25,
102781796,102782386,7,,
123672259,124035172,7,,
141637094,141637863,3,,
102792454,102792772,7,,
141762465,141763040,3,,
156799630,156806336,3,,
102902447,102902758,7,S100A11P1,
156807670,156818924,3,,
142160528,142160604,3,,
142168944,142170991,3,,
102989048,102989218,7,,
123914733,123927598,7,,
103085654,103154454,7,,
123977434,123989914,7,,
124116425,124117009,7,,
142184157,142191179,3,,
104308196,104310023,7,EIF4BP6,
142299752,142301241,3,,
156880452,156881721,3,KRT18P34,
156881241,156886922,3,,
104379044,104444554,7,,
124120578,124121449,7,,
156893012,157099054,3,,
124569927,124819369,7,,
123301058,123306427,11,,
142373626,142375587,3,,
157694350,157695925,3,,
157734005,157806786,3,,
123396344,123498482,11,GRAMD1B,
157993598,157994210,3,,
158214350,158214723,3,,
158263009,158288855,3,,
124673507,124675355,7,,
158327399,158328646,3,,
158344445,158344638,3,,
158450116,158501859,3,,
124791380,124793665,7,,
124503009,124565603,11,SIAE,
25728387,25728614,3,,
40191212,40193750,7,,
40577726,40586527,7,,
40815157,40824816,7,,
25790979,25791387,3,,
124800028,124800601,7,,
41004266,41019537,7,,
25796416,25797161,3,TAF9BP1,
158481220,158481542,3,,
158558882,158559749,3,GPR79,
142545938,142546570,3,
124812272,125019375,7,
41141202,41173105,7,
142645517,142661376,3,
26057160,26057860,3,
159104545,159105229,3,
159439313,159440190,3,
124869633,124904345,7,
142679214,142679385,3,
41706766,41744933,7,
159483176,159486401,3,
142682900,142719932,3,
124940558,124940932,7,
41733514,41818986,7,
104466783,104467243,7,
159631189,159943086,3,
104558007,104567077,7,,
26257813,26258368,3,HMGB3P12,
142830644,142831201,3,,
104581510,104602781,7,,
42152964,42153219,7,HMGN2P30,
124985023,124985431,7,,
142842204,142850735,3,,
42701325,42746046,7,,
124985879,124986251,7,,
42834505,42842093,7,TCP1P1,
104590762,104653491,7,,
26388172,26389129,3,,
142895127,142897307,3,,
42869271,42884037,7,,
42958340,42959683,7,,
159818478,159820661,3,,
143031909,143033271,3,,
125071401,125106455,7,,
26660821,26664181,3,,
104653872,104654768,7,,
143061088,143065913,3,,
43011866,43084204,7,,
26753798,26754855,3,,
104885099,104885417,7,,
143100180,143101003,3,,
159944270,159945841,3,,
43157495,43202786,7,,
104941969,104942533,7,RWDD4P1,
160060473,160060803,3,,
160170386,160171191,3,,
143222117,143223115,3,GAPDHP47,
125557925,125573886,7,,
104944724,104947089,7,,
27256307,27256509,3,,
160302733,160303575,3,RPL6P8,
143235965,143237071,3,ST13P15,
161042701,161044007,3,,
105170656,105171118,7,,
27503997,27504307,3,,
126019024,126064239,7,,
143339370,143346532,3,,
43278665,43288867,7,,
161046712,161048026,3,,
105222705,105223703,7,,
126151189,126152933,7,,
105459938,105460547,7,,
27527738,27528108,3,,
143574581,143574985,3,,
43313758,43314181,7,,
105765817,105767146,7,,
124543694,124567414,11,SPA17,
145241325,145242202,3,,
43548327,43562141,7,,
105955671,105956189,7,,
106012697,106372895,7,,
27566844,27566885,3,,
43806889,43807198,7,,
27665693,27665947,3,,
145402359,145402879,3,GM2AP1,
43958296,43959653,7,TUBG1P,
27674467,27675211,3,,
145542044,145542526,3,,
43980494,44058774,7,POLR2J4,
145657699,145679323,3,,
106300345,106301342,7,,
161144215,161166030,3,,
106415457,106436010,7,,
161146915,161147398,3,,
126508821,126510586,7,,
145679542,145681410,3,,
161534697,161539696,3,,
106717671,106774178,7,,
126621021,126621832,7,,
27744620,27745059,3,,
145781829,145822991,3,,
162204329,162204737,3,TOMM22P6,
27844253,27932792,3,,
126720747,126730972,7,,
107090528,107090807,7,,
162319415,162319580,3,,
107268998,107269943,7,
27872379,27875627,3,
126855181,126869975,7,
107283210,107283468,7,
145784131,145786972,3,
162744184,162949937,3,
107297075,107302596,7,
28038701,28070095,3,
162833217,162833974,3,
146060783,146066267,3,
28469454,28469935,3,
126935674,126936257,7,
146109150,146134390,3,
44001189,44012924,7,
126990182,126991577,7,
28489216,28489564,3,
162845711,163079351,3,,
44024597,44029806,7,,
107383247,107384360,7,,
28616282,28799296,3,,
107383262,107385026,7,,
146307389,146308112,3,,
44043645,44047465,7,,
107449179,107450013,7,,
146627472,147088443,3,,
44066550,44081491,7,,
108150677,108151420,7,,
108238819,108254711,7,,
146639710,146643005,3,,
124609829,124617869,11,NRGN,
29128887,29130090,3,MESTP4,
29305685,29332217,3,,
108549510,108592723,7,
29432339,29432709,3,
108634088,108635086,7,
29657466,29684300,3,
146994555,146995039,3,
29839143,29839316,3,
108962377,108966372,7,
44078770,44081905,7,
147104754,147105240,3,
127116937,127125858,7,
147308783,147309622,3,
29968302,29975647,3,
109162038,109237223,7,
109300151,109300859,7,
30030355,30031951,3,
127284739,127292066,7,
44104507,44105678,7,,
147561910,147564444,3,,
127497905,127498541,7,,
109599275,109600241,7,EIF3IP1,
30566237,30568677,3,,
147657791,147724542,3,,
127946702,127947731,7,,
44507441,44507939,7,,
128073476,128073767,7,,
128095991,128109251,7,,
109638491,109639681,7,,
30566482,30567705,3,,
110072296,110174811,7,,
147795946,147805816,3,,
30667915,30668289,3,,
124617368,124622134,11,VSIG2,
44550624,44550931,7,,
44824649,44826939,7,,
123499895,123525952,11,SCN3B,
31223243,31224142,3,CNN2P6,
44888015,44889167,7,,
31310499,31310898,3,,
31494324,31497386,3,THRAP3P1,
44959268,44959928,7,,
31745550,31763144,3,,
128173706,128256024,7,,
163192855,163197153,3,,
163719394,163720253,3,,
128210295,128210742,7,,
45431225,45431804,7,ELK1P1,
128291239,128292388,7,,
164388666,164403864,3,,
110364215,110365881,7,,
45500311,45581781,7,,
164431883,164549268,3,,
111034931,111035099,7,,
147810962,147845020,3,,
45574122,45574280,7,,
111051375,111051939,7,,
128292895,128293719,7,,
45813194,45822756,7,,
147878698,147944393,3,,
111448572,111461829,7,,
45855815,45858615,7,,
124622026,124632186,11,ESAM,
45856156,45860663,7,,
111611277,111612043,7,,
31835962,31837667,3,,
147884131,147885085,3,HNRNPA1P20,
45858181,45858696,7,,
32071688,32072170,3,,
111968244,112049678,7,,
46009256,46019790,7,,
32105466,32108103,3,,
147913516,147997885,3,,
32192575,32193387,3,,
46030504,46040497,7,,
112012702,112013784,7,,
147998678,148117743,3,,
32232239,32233119,3,,
46037139,46037670,7,FTLP15,
112013788,112014305,7,,
32300432,32301722,3,KRT18P15,
112014379,112015484,7,,
32549447,32549817,3,,
148413781,148413991,3,,
46039220,46040377,7,TTC4P1,
112086219,112086430,7,,
32634464,32634804,3,,
46184535,46185286,7,,
148542569,148543174,3,HMGB1P30,
32662395,32663394,3,,
112160543,112161725,7,NPM1P14,
46300662,46334067,7,,
148568720,148677899,3,,
32676714,32677046,3,,
112262433,112348135,7,,
32772127,32778946,3,,
46341718,46383219,7,,
128293740,128293989,7,,
164867794,164875850,3,,
32794402,32795393,3,SUGT1P2,
148703655,148705455,3,UBQLN4P1,
128294023,128294776,7,,
46516055,46517538,7,,
148804119,148820610,3,,
128309141,128309946,7,,
32827138,32827608,3,,
46517420,46521176,7,,
164924748,165373211,3,,
112375221,112378748,7,MIPEPP1,
33075355,33076302,3,,
33118696,33118983,3,,
148817286,148817602,3,,
46674212,46674544,7,HMGN1P19,
112594701,112635689,7,,
33231725,33231820,3,,
128333504,128333978,7,,
46820971,46823041,7,EPS15P1,
128490216,128502680,7,,
148947143,148994451,3,CPHL1P,
33596128,33596351,3,,
33768742,33769096,3,,
128502505,128550773,7,KCP,
46930223,47089276,7,,
33813455,33813787,3,SDAD1P3,
34200826,34604369,3,,
112740718,112786385,7,,
47009300,47067079,7,,
34244736,34310303,3,,
123594885,123612383,11,ZNF202,
34566310,34585372,3,,
47040218,47118726,7,,
34914133,34915346,3,FECHP1,
47065726,47066168,7,MRPL42P4,
35257197,35258641,3,KRT8P18,
47092391,47093272,7,,
47661537,47669491,7,,
47801074,47806370,7,,
35691689,35693453,3,,
47996390,47996915,7,,
35913358,35913690,3,,
48700171,48702901,7,,
48886022,48892494,7,,
36211259,36211940,3,,
113937169,113937484,7,,
48942152,48943487,7,GDI2P1,
114054299,114059930,7,,
114701591,114871409,7,,
48959361,48965612,7,,
